;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
AMA_1;Cappadoce;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA_2;France Antartique;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA_3;Monts-Diamants;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA_4;Côte du Sucre;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA_5;Gouas;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMA_2410;Bectoucan;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOT_1;Côte du Café;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOT_2;Nouvelle Alsace;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOT_3;Marches Ouest;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOT_4;Lorraine Atlantique;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOT_5;Bourgogne-du-Sud;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOT_6;Transfleuve;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOT_2358;Iberá;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOT_2446;Libreville;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOT_2465;Villemanoche;;;;;;;;;;;;;;;;;;;;;;;;;;;
NAN_1;Northumbia;;;;;;;;;;;;;;;;;;;;;;;;;;;
NAN_2;Wessex;;;;;;;;;;;;;;;;;;;;;;;;;;;
NAN_3;Avalon;;;;;;;;;;;;;;;;;;;;;;;;;;;
NAN_4;Godwinson;;;;;;;;;;;;;;;;;;;;;;;;;;;
NAN_5;New Cornwall;;;;;;;;;;;;;;;;;;;;;;;;;;;
NAN_2355;New Middlesex;;;;;;;;;;;;;;;;;;;;;;;;;;;
NAN_2362;Eoferwic;;;;;;;;;;;;;;;;;;;;;;;;;;;
SA_1;Amazonie Profonde;;;;;;;;;;;;;;;;;;;;;;;;;;;
SA_2;Proche Amazonie;;;;;;;;;;;;;;;;;;;;;;;;;;;
SA_3;Amazonie Inférieure;;;;;;;;;;;;;;;;;;;;;;;;;;;
SA_4;Chaco Boreal;;;;;;;;;;;;;;;;;;;;;;;;;;;
SA_2318;Grand Chaco du Nord;;;;;;;;;;;;;;;;;;;;;;;;;;;
SA_5;Grand Chaco du Sud;;;;;;;;;;;;;;;;;;;;;;;;;;;
SA_6;Collasuyu;;;;;;;;;;;;;;;;;;;;;;;;;;;
SA_7;Rapa Nui;;;;;;;;;;;;;;;;;;;;;;;;;;;
SA_8;Tapt Ø;;;;;;;;;;;;;;;;;;;;;;;;;;;
SA_9;Land's End;;;;;;;;;;;;;;;;;;;;;;;;;;;
NBG_1;Nouvelle Flandre;;;;;;;;;;;;;;;;;;;;;;;;;;;
NBG_2;Philippa;;;;;;;;;;;;;;;;;;;;;;;;;;;
NBG_3;Flandre Supérieure;;;;;;;;;;;;;;;;;;;;;;;;;;;
NBG_4;Haute Valoisie;;;;;;;;;;;;;;;;;;;;;;;;;;;
NBG_5;Basse Valoisie;;;;;;;;;;;;;;;;;;;;;;;;;;;
NBG_6;Nouvelle Lorraine;;;;;;;;;;;;;;;;;;;;;;;;;;;
NBG_7;Carolina;;;;;;;;;;;;;;;;;;;;;;;;;;;
NBG_247;Nouvelle Wallonie;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLA_1;Nouveau Leinstre;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLA_2;Léonie;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLA_3;Charlésie;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLA_4;Pays Chérokîs;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLA_5;Tuskgi;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLA_6;Alibamon;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLA_7;Nouvelle France;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLA_8;Messippi;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLA_9;Pays des Illinois;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIN_1;Trävälde;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIN_2;Østerland;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIN_3;Vinland;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIN_4;Storsjøarna;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIN_5;Kroneland;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIN_6;Markland;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIN_7;Nye Trøndelag;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIN_8;Skrælingmark;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIN_9;Kristiania;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIN_10;Helluland;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIN_50;Øverlægsnasjøn;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIN_52;Olavshavn;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIN_60;Tollvikland;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIN_71;Ny Jelling;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIN_175;Flåttsjø;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIN_2595;Nunavut;;;;;;;;;;;;;;;;;;;;;;;;;;;
GAN_6;Yolngu;;;;;;;;;;;;;;;;;;;;;;;;;;;
GAN_7;Noongar;;;;;;;;;;;;;;;;;;;;;;;;;;;
GAN_8;Coomalong;;;;;;;;;;;;;;;;;;;;;;;;;;;
GAN_10;Oodnatta;;;;;;;;;;;;;;;;;;;;;;;;;;;
GAN_11;Pitjantjatjara;;;;;;;;;;;;;;;;;;;;;;;;;;;
DNG_1;Qingqiu;;;;;;;;;;;;;;;;;;;;;;;;;;;
DNG_2;Dayan;;;;;;;;;;;;;;;;;;;;;;;;;;;
DNG_3;Dongji;;;;;;;;;;;;;;;;;;;;;;;;;;;
DNG_4;Xiazhou;;;;;;;;;;;;;;;;;;;;;;;;;;;
DNG_5;Julinyutian;;;;;;;;;;;;;;;;;;;;;;;;;;;
DNG_88;Shangu Siwang;;;;;;;;;;;;;;;;;;;;;;;;;;;
NA_1;Messipi Supérieur;;;;;;;;;;;;;;;;;;;;;;;;;;;
NA_2;Terres-Rouges;;;;;;;;;;;;;;;;;;;;;;;;;;;
NA_3;Nouveau Lancastre;;;;;;;;;;;;;;;;;;;;;;;;;;;
NA_4;Terres-Cau;;;;;;;;;;;;;;;;;;;;;;;;;;;
NA_7;Terres-Maha;;;;;;;;;;;;;;;;;;;;;;;;;;;
NA_8;Tjørnin;;;;;;;;;;;;;;;;;;;;;;;;;;;
NA_9;Torsmark;;;;;;;;;;;;;;;;;;;;;;;;;;;
NA_10;Kita;;;;;;;;;;;;;;;;;;;;;;;;;;;
NA_11;Guretonosu;;;;;;;;;;;;;;;;;;;;;;;;;;;
NA_12;Odensmark;;;;;;;;;;;;;;;;;;;;;;;;;;;
NA_16;Athesia;;;;;;;;;;;;;;;;;;;;;;;;;;;
NA_30;Røhnnst;;;;;;;;;;;;;;;;;;;;;;;;;;;
TEX_132;Lusitania;;;;;;;;;;;;;;;;;;;;;;;;;;;
TEX_134;Bahia;;;;;;;;;;;;;;;;;;;;;;;;;;;
UCA_2182;Los Altos;;;;;;;;;;;;;;;;;;;;;;;;;;;
UCA_2186;San Salvador;;;;;;;;;;;;;;;;;;;;;;;;;;;
UCA_2191;Comayagua;;;;;;;;;;;;;;;;;;;;;;;;;;;
UCA_2197;Managua;;;;;;;;;;;;;;;;;;;;;;;;;;;
